"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_MITOTIC_SPINDLE",0.0135175582246276,0.0450585274154254,0.380730400722792,0.361916491733279,1.40654108152556,196,"FGD4;SUN2;PDLIM5;ARHGAP29;NEDD9;PALLD;VCL;MYO1E;KIF5B;RAPGEF5;SSH2;PKD2;ROCK1;RALBP1;ACTN4;RANBP9;STK38L;MYH10;GSN;WASF1;AKAP13;ARHGDIA;RASAL2;ITSN1;MAP1S;FLNA;ARHGAP10;RABGAP1;HOOK3;CAPZB;ARHGEF12;ARF6;ARL8A;PCGF5;TUBGCP6;WASL;MAPRE1;SHROOM2;MYH9;SPTAN1;FLNB;CLIP1;WASF2;ARHGEF7;KLC1"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.0199232065293106,0.0622600204040957,0.352487857583619,0.498225042192,1.56534639362234,45,"GPX3;GCLM;GLRX;TXNRD1;CAT;GSR;OXSR1;PDLIM1;PRDX6;SOD2;LAMTOR5;SBNO2"
"HALLMARK_KRAS_SIGNALING_UP",0.0226377673729668,0.0665816687440201,0.352487857583619,-0.320636977458798,-1.32285879384938,143,"EPHB2;LIF;PRRX1;ALDH1A3;AKAP12;PRKG2;SOX9;ITGA2;SEMA3B;SCN1B;G0S2;MAFB;ENG;KLF4;GPNMB;VWA5A;CCND2;MALL;HDAC9;PLAU;CTSS;NGF;PTGS2;BPGM;MMP11;MMP10;TMEM158;ABCB1;CPE;EPB41L3;LY96;CD37;GADD45G;SDCCAG8;SATB1;GYPC"
"HALLMARK_APICAL_JUNCTION",0.0253723570396601,0.0704787695546113,0.352487857583619,0.369048831765599,1.39412642421616,155,"NEXN;NEGR1;ALOX15B;NF2;ITGA10;ADRA1B;VCL;IRS1;ZYX;CNN2;DSC3;RRAS;CAP1;MYL12B;ACTN4;MYH10;ACTG1;LAMA3;ADAMTS5;ACTG2;SORBS3;PARVA;CDH4;ITGB1;RSU1;GNAI1;MYL9;LAMC2;MAPK11;PKD1;ADAM23;MAPK14;VASP;ACTB;MPZL1;TJP1;HRAS;SLIT2;WASL;SHROOM2;MYH9;ITGA3;ACTN1;DHX16;AKT3;MAPK13;PIK3CB;PFN1"
"HALLMARK_BILE_ACID_METABOLISM",0.0294752720398754,0.0757919045705806,0.352487857583619,0.413820378263592,1.43733053882966,83,"ACSL1;GCLM;ABCA6;DHCR24;HSD17B11;CAT;NPC1;SLC22A18;DIO2;IDH2;MLYCD;PNPLA8;ABCA4;BMP6;CYP39A1;LIPE;HSD17B4;RXRA;CYP7B1;NEDD4;PEX16"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0303167618282322,0.0757919045705806,0.352487857583619,0.346231344353042,1.34239782891331,193,"PTX3;NNMT;FSTL3;COL11A1;LAMA2;IGFBP2;COL7A1;FBN2;FZD8;COL4A1;OXTR;ACTA2;ANPEP;COL4A2;GADD45B;TAGLN;SAT1;RHOB;LAMC1;ELN;CALD1;FSTL1;TPM4;SPOCK1;THBS1;TPM2;FERMT2;CTHRC1;INHBA;LOX;SGCB;LAMA3;COL5A3;NID2;FLNA;ITGB1;MGP;MYL9;FBLN5;TNFAIP3;LAMC2;PDGFRB;PLOD3;COL5A2;DKK1;MFAP5;GEM;TPM1"
"HALLMARK_PROTEIN_SECRETION",0.0319259868092029,0.0760142543076259,0.321775918075361,0.402964778656928,1.4188280551186,92,"CTSC;STX12;TSPAN8;SCRN1;ATP1A1;CAV2;TOM1L1;RAB2A;STX7;TSG101;NAPA;VPS4B;NAPG;ARF1;ARFGEF2;SEC22B;RER1;GALC;DNM1L;COPB1;TMX1;AP1G1;ARCN1;AP2S1;TMED10;USO1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.0372940352726358,0.0847591710741722,0.321775918075361,-0.351802942273385,-1.34615863106817,87,"SAMD9L;IFI44;PARP9;TRIM5;CASP1;MX1;UBA7;IFIT2;PSME2;BATF2;MOV10;TRIM14;IRF1;GBP4;IFIH1;HERC6;PSMB9;OAS1;NMI;RIPK2;CD74;IFI27;PROCR;GBP2;DDX60;EIF2AK2;RTP4;TRIM21;LY6E;PARP14;TXNIP"
"HALLMARK_MYC_TARGETS_V1",0.0397805212620027,0.086479394047832,0.266350657088526,0.342164331014435,1.32662932624897,193,"STARD7;SSB;CTPS1;MYC;RRP9;SRM;LDHA;DDX21;CCNA2;RAD23B;SERBP1;NAP1L1;CCT5;PSMD8;G3BP1;ETF1;EIF1AX;RNPS1;HNRNPA2B1;KPNB1;DEK;CUL1;PSMA7;SLC25A3;PSMD7;UBA2;TFDP1;CNBP;PRDX3;SRPK1;GSPT1;DUT;NOP16;MCM5;CAD;EIF2S1;PPIA;ABCE1;PRPS2;NOP56;RAN;SF3A1;HNRNPA1;VDAC1;SYNCRIP;PSMA1;SRSF3;RUVBL2;UBE2L3;GLO1;PA2G4;PWP1;CCT2;U2AF1;DDX18;CCT3;PSMC4;DHX15;FAM120A;EXOSC7;NOLC1;PSMD14;C1QBP;ACP1;EIF3J;YWHAE;TCP1;CCT7;COX5A;CYC1;EIF3B;SNRPD1;SNRPG;TXNL4A;PCBP1;ODC1;BUB3;RPL34"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0504201680672269,0.105042016806723,0.237793834423688,0.344520182764407,1.30615927224801,160,"INHBB;ENDOD1;FKBP5;ABLIM1;DHRS3;ABAT;RHOBTB3;RPS6KA2;ELF1;RAB31;MYC;NBL1;ASB13;TSKU;WFS1;MUC1;IGF1R;SLC19A2;JAK2;UGCG;TIPARP;SNX24;OPN3;ITPK1;SLC24A3;SLC1A1;ALDH3B1;WWC1;SLC26A2;STC2;ABHD2;SEC14L2;ELOVL5;MICB;GAB2;TGM2;MYOF"
